trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.6993650000077,334.6993650000077,2,8.220407899993006,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.28218719997676,343.28218719997676,2,1.597681500017643,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.24841959995683,345.24841959995683,7,1.8807755000307225,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.49080219998723,347.49080219998723,8,2.5570863999892026,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.3822756999871,350.3822756999871,7,1.8412597999558784,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.5651961999829,352.5651961999829,2,4.71443230001023,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.6483004000038,357.6483004000038,9,3.072143799974583,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.08143089996884,361.08143089996884,5,2.7826406999956816,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.2470698999823,364.2470698999823,6,1.7208489999757148,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.3309453999973,366.3309453999973,2,6.6368965000147,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.36474089999683,373.36474089999683,9,3.147757799946703,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.88084529998014,376.88084529998014,5,6.318494600011036,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.5636699000024,383.5636699000024,8,5.068614699994214,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
