trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,30,1,121,3,,,,,491.6888004000066,492.68770920002135,492.6897040999844,494.68621580000035,494.9703860000009,3.2787193118219267,t,1,0.6633261000388302,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,30,2,122,1,,,,,494.9703860000009,495.95108329999493,495.95523789998845,497.96599390002666,497.80105870001717,2.8165068986805126,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,30,3,123,0,,,,,497.96599390002666,498.96726740000304,498.96571450001795,500.9810525000212,501.66477520001354,3.694369877876779,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,31,0,124,2,,,,,501.66477520001354,502.66155319998506,502.66297369999813,504.65986299997894,504.9953201999888,3.3242277576705153,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,31,1,125,0,,,,,504.9953201999888,505.99363829998765,505.99445999998136,508.00882450002246,509.80635869997786,4.805427382305729,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,31,2,126,3,,,,,509.80635869997786,510.80460209999,510.80455899997617,512.8193074000301,512.7538592999917,2.949565072937232,t,1,0.8386882999911904,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,31,3,127,1,,,,,512.8193074000301,513.8193353000097,513.8232585999882,515.8336138000013,515.1173393999925,2.297926933578144,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,32,0,128,1,,,,,515.8336138000013,516.8150169000146,516.817291900015,518.8301871999865,520.1128286999883,4.269866118720095,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,32,1,129,3,,,,,520.1128286999883,521.1126647000201,521.1120164999971,523.1274301999947,524.2923942999914,4.173888925554156,t,1,0.7693207999691367,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,32,2,130,0,,,,,524.2923942999914,525.2760508999927,525.2762187000131,527.2897780999774,527.8550735000172,3.5503700800842872,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,32,3,131,2,,,,,527.8550735000172,528.8537982000271,528.8551243000198,530.8753143000067,532.5020676000277,4.641056543711225,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,33,0,132,1,,,,,532.5020676000277,533.4996112000081,533.5002255999949,535.4992783999769,535.7512024000171,3.238273510282723,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,33,1,133,0,,,,,535.7512024000171,536.7476816999842,536.7473001000122,538.7625406000298,540.0775117999874,4.326587172493896,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,33,2,134,2,,,,,540.0775117999874,541.0766801999998,541.0762179999962,543.0910589999985,543.7413769999985,3.6594529678981647,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,33,3,135,3,,,,,543.7413769999985,544.7251743000234,544.7250093000126,546.7378028000239,548.270400599984,4.514660534614948,t,1,0.9099869999918155,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
