trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,11,0,44,1,,,,,398.2159505000018,399.2160060000024,399.21600520000504,403.54969499999424,401.2165001999965,5.321623479845178,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,11,1,45,2,,,,,403.54969499999424,404.55001900000207,404.54974650000224,407.66653329999826,406.5498491000035,4.101486500937586,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,11,2,46,0,,,,,407.66653329999826,408.6664976000029,408.6668573000003,412.56629899999825,410.6662784999935,4.886568370499134,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,11,3,47,3,,,,,412.56629899999825,413.5662316999951,413.56642599999907,417.7331220000051,415.5663916999911,5.161348715529575,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,12,0,48,2,,,,,417.7331220000051,418.7332222999976,418.73296610000546,421.98367449999205,420.73306050000247,4.235394336605616,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,12,1,49,0,,,,,421.98367449999205,422.9828569999954,422.983419299993,426.1007164000039,424.98309130000416,4.11375466717694,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,12,2,50,1,,,,,426.1007164000039,427.10115469999437,427.0999545000028,431.8332507000014,429.11635959999694,5.722678670160418,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,12,3,51,3,,,,,431.8332507000014,432.8329245999921,432.8329350999935,435.699869899996,434.8331595000054,3.863601595551806,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,13,0,52,2,,,,,435.699869899996,436.6998225999996,436.69976949999693,438.28336459999264,438.69987799999944,2.577131251032553,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,13,1,53,1,,,,,438.69987799999944,439.69983529999445,439.6991523999983,442.3171813999943,441.69975220000197,3.6106772429037965,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,13,2,54,3,,,,,442.3171813999943,443.3167395000055,443.31681379999793,447.68298670000513,445.3170520999993,5.358665334599248,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,13,3,55,0,,,,,447.68298670000513,448.6828894999926,448.68291169999577,451.7498557999934,450.6827831999981,4.053042698496824,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
